Student_ID,Student_Full_Name,Gender,State,Category,Student_Marks_Percentage,Entrance_Exam,Entrance_Exam_Score,Course_Preference,College_Name,Branch,Historical_College_Cutoff_Marks,Previous_Year_Admission_Rank,Probability_of_Admission,College_Classification
0,3436,0,2,0,89.45,1,128,7,934,7,95.15,10002,0.28,0
1,2595,0,1,1,70.11,1,145,3,93,3,66.39,114368,0.74,1
2,3253,1,13,0,75.08,1,291,0,1427,0,86.02,33096,0.43,0
3,774,0,7,1,66.89,2,59,1,304,1,73.4,126606,0.22,0
4,124,1,3,1,85.68,2,174,8,1258,8,76.36,133711,0.83,2
5,4408,0,0,0,66.73,1,145,2,1891,2,75.26,19213,0.4,0
6,144,1,9,0,81.26,3,143,4,1520,4,73.72,60065,0.65,1
7,321,0,10,1,83.22,3,109,2,2130,2,98.25,40308,0.5,0
8,4766,0,9,0,61.04,2,99,4,561,4,91.16,179560,0.25,0
9,3266,0,1,0,82.67,2,180,4,355,4,63.46,113561,0.96,2
10,1421,0,7,3,99.14,5,117,5,870,5,61.29,147217,0.87,2
11,4344,1,8,1,98.15,0,76,3,2156,3,86.48,97547,0.93,2
12,3514,0,2,0,78.24,0,197,4,154,4,95.64,76335,0.42,0
13,876,0,9,2,78.17,4,350,8,681,8,75.06,16268,0.74,1
14,1680,1,4,1,94.02,1,249,0,1076,0,87.73,118266,0.63,1
15,2627,1,12,0,78.15,5,192,0,918,0,79.5,142989,0.4,0
16,3192,1,11,0,67.17,5,179,0,326,0,94.57,69350,0.29,0
17,4153,1,2,0,99.59,5,54,6,1302,6,82.02,22309,0.92,2
18,858,1,13,0,96.64,5,186,8,1513,8,95.17,129051,0.73,1
19,2870,1,12,2,76.78,0,161,1,939,1,92.77,33058,0.36,0
20,866,0,2,0,70.38,5,199,1,661,1,62.04,120786,0.88,2
21,2160,0,14,2,75.12,3,99,6,601,6,67.05,16369,0.95,2
22,3041,0,7,0,80.04,3,144,3,27,3,71.54,69578,0.9,2
23,4571,0,13,1,72.4,2,77,4,1733,4,89.86,85117,0.23,0
24,2385,1,4,1,70.41,2,166,1,2267,1,95.31,72096,0.27,0
25,2347,1,2,0,84.58,1,247,4,1593,4,80.87,123289,0.8,1
26,3924,0,3,1,93.7,3,168,6,59,6,95.46,157652,0.42,0
27,3578,0,2,1,87.7,5,108,4,464,4,62.44,66418,0.87,2
28,1693,1,13,0,55.58,2,92,4,816,4,70.51,43498,0.42,0
29,2198,1,14,0,67.65,2,73,2,811,2,83.9,146120,0.25,0
30,3083,0,4,0,90.74,1,174,5,472,5,82.23,171466,0.89,2
31,3221,1,7,3,96.65,2,111,3,1203,3,69.53,54572,0.83,2
32,3272,1,13,1,56.34,2,113,0,345,0,94.29,114207,0.39,0
33,3542,0,11,0,83.81,1,143,7,1128,7,61.01,94774,0.95,2
34,1372,0,8,0,84.68,2,161,6,1687,6,67.37,20204,0.98,2
35,3528,0,14,2,76.31,1,244,7,1414,7,64.91,120614,0.97,2
36,4743,1,0,0,78.34,5,123,4,326,4,75.23,12383,0.58,1
37,2148,0,4,0,58.71,0,231,0,731,0,74.99,109784,0.19,0
38,794,1,9,0,90.57,1,144,3,1909,3,65.71,119959,0.89,2
39,583,1,8,1,61.8,2,168,4,1307,4,65.24,10795,0.28,0
40,1144,0,5,0,74.32,4,326,6,1057,6,60.37,85822,0.93,2
41,2037,1,5,2,79.65,4,292,4,50,4,71.23,32798,0.91,2
42,2421,0,2,0,96.04,5,192,8,208,8,84.42,109279,0.96,2
43,2104,0,8,1,70.7,3,50,4,690,4,63.12,48147,0.7,1
44,291,0,5,1,78.93,1,162,1,2147,1,62.75,53830,0.94,2
45,4573,1,5,0,94.89,2,189,7,1103,7,61.04,8158,0.94,2
46,4655,0,2,0,59.52,4,283,0,1579,0,94.82,19292,0.28,0
47,1103,1,12,1,59.16,4,446,7,1558,7,81.59,31295,0.38,0
48,3533,1,12,0,90.89,3,128,7,169,7,69.16,24529,0.95,2
49,3566,0,11,2,96.59,2,141,5,1390,5,67.03,34683,0.88,2
50,2049,0,8,0,73.69,4,265,4,1973,4,70.4,44079,0.74,1
51,223,1,12,0,56.07,3,195,9,2231,9,82.17,167277,0.39,0
52,1538,1,10,3,79.52,3,136,7,1544,7,85.96,80771,0.25,0
53,786,1,6,0,73.94,4,337,2,13,2,61.85,58295,0.96,2
54,2400,1,1,1,80.51,5,161,6,926,6,96.62,19558,0.48,0
55,4288,1,8,0,96.48,2,57,4,1148,4,61.39,168775,0.9,2
56,1620,1,1,1,72.22,2,96,2,434,2,75.78,112365,0.38,0
57,4455,0,3,0,84.41,1,224,6,268,6,87.53,153022,0.26,0
58,2442,1,12,1,92.84,3,186,7,1902,7,85.77,144112,0.57,1
59,2617,0,7,1,61.45,5,75,1,224,1,85.55,164344,0.43,0
60,3095,0,11,1,88.73,3,145,7,911,7,71.08,141166,0.94,2
61,3703,1,9,1,57.35,4,279,4,2376,4,74.53,110461,0.38,0
62,1056,1,12,1,80.71,5,84,9,540,9,87.8,127956,0.48,0
63,4325,0,9,1,70.02,0,300,8,627,8,92.92,170025,0.49,0
64,1182,1,4,1,59.57,2,63,3,2026,3,87.74,37674,0.28,0
65,2332,1,5,1,85.73,4,363,3,1179,3,94.35,133335,0.48,0
